year,region,mtumors,syncmtumors,insitu,ncervix,nhospotal_pht,nbeds_pht,ybeds_pht,nill_pht,nvillage_ill_pht,bed_days_pht,dvisits_pht,hvisits_pht,ndoctors_pht,nnursing_pht,nx_ray_pht,nflurography_pht,nradiology_pht,nradlab_pht,nсt_pht,ncardiogram_pht,ndiaglab_pht,nbacter_pht,nbiochem_pht,ncyto_pht,nimun_pht,nphysic_pht,nendoscop_pht,nultrasound_pht,ndialysis_pht,air_pollution,polluted_dumps,not_cleaned_dumps,dumps_not_cleaned_enough,num_clearing_plants,cpi,population,tincidence_pht,mtumors_pht,syncmtumors_pht,insitu_pht,insitu_pti,mtumors_pti,gdp,aging_level,mean_age
2010,Хмельницька,274.0,60.0,53.0,15.0,5.4724,799.2761,802.6233,23213.4169,11472.8586,263639.7575,577676.6418,37406.0783,263.2019,560.8127,5.4724,3.8982,0.075,0.075,0.1499,14.4682,14.7681,0.8246,0.0,0.2249,0.0,14.7681,2.6238,3.2235,0.075,19.1,2.0,0.0,2.0,98.0,109.1,1333957.0,360.1315,20.5403922315337,4.497896109094971,3.9731415630338907,11.032472939217318,57.03580349708576,13602,21.4,43.2
2010,Черкаська,314.0,130.0,44.0,22.0,6.331,745.5888,749.758,23385.4069,10169.9482,247132.2202,605412.5252,49032.9041,271.0741,623.6788,4.7096,2.9339,0.1544,0.0772,0.2316,9.8825,14.901,0.386,0.0,0.1544,0.1544,14.901,2.625,3.4743,0.0772,61.2,11.0,4.0,7.0,144.0,109.1,1295218.0,355.3842,24.2430231821979,10.036920425750722,3.3971115287156293,9.558983271779274,68.21638062133391,17325,22.2,44.1
2010,Чернівецька,131.0,33.0,22.0,13.0,5.6393,727.5775,755.7418,21930.1592,12609.8692,259970.0787,462379.7092,26692.1429,255.6197,495.1231,5.3076,3.7595,0.1106,0.1106,0.3317,14.9275,18.0236,1.1057,0.0,0.0,0.1106,17.913,2.3221,3.7595,0.1106,3.8,7.0,5.0,2.0,63.0,109.1,904371.0,265.4884,14.485205739679843,3.6489449573239296,2.4326299715492867,9.162848812994586,54.560599750104124,10939,17.7,40.4
2010,Чернігівська,272.0,75.0,17.0,7.0,7.0286,976.4388,976.9704,25493.4683,9486.3964,315969.2254,620063.9425,49243.9268,276.7973,690.9908,5.4967,3.4242,0.0901,0.1802,0.3604,13.9671,14.5979,0.5407,0.1802,0.0,0.0901,15.499,3.244,3.7846,0.0901,47.4,19.0,14.0,19.0,64.0,109.1,1109747.0,347.7369,24.510091038768298,6.758297161425082,1.5318806899230186,4.405286343612334,70.48458149779735,15406,24.7,45.7
2011,Вінницька,337.0,77.0,90.0,80.0,3.4121,712.8316,728.9174,21639.0314,10791.0,241121.837,500500.9137,22931.3168,233.3352,512.6429,4.448,2.681,0.2437,0.0609,0.2437,4.8745,6.154,0.3656,0.0,0.0609,0.0,6.0322,2.2544,3.1684,0.0609,87.3,2.0,0.0,2.0,102.0,104.6,1641201.0,346.5145,20.533743277027007,4.691686149350384,5.483789005734216,15.825567082820466,59.257956743449974,17768,21.7,43.4
2011,Волинська,201.0,63.0,110.0,109.0,4.8209,729.4998,731.9103,22192.954,11045.8574,251046.1853,556154.8051,28623.1776,265.5838,557.2006,4.2424,2.6997,0.0964,0.0964,0.4821,12.7272,13.4985,0.3857,0.0964,0.1928,0.0,13.4985,2.5069,3.7603,0.1928,7.6,1.0,1.0,0.0,79.0,104.6,1037149.0,284.7228,19.380050503833104,6.074344187768585,10.60599778816737,37.250253979004405,68.06637317981713,16993,16.9,39.7
2011,Дніпропетровська,822.0,210.0,147.0,125.0,3.2969,770.0575,842.8283,23236.4475,3640.2474,281998.6129,656686.7296,51029.8204,254.3755,536.9692,4.4358,2.9672,0.1798,0.0899,0.2098,4.8254,5.3349,0.2098,0.0899,0.0899,0.1199,5.8145,2.3977,3.2669,0.03,950.4,472.0,138.0,334.0,974.0,104.6,3336504.0,375.0932,24.63656569870739,6.294013134706267,4.405809194294387,11.745904914103075,65.68118258090291,42068,19.4,43.2
2011,Донецька,943.0,224.0,36.0,13.0,3.6318,697.5169,703.9549,19566.8813,1597.4244,236343.2439,796090.4451,60515.1668,303.2251,662.1233,5.3237,3.2709,0.203,0.0677,0.1353,5.4816,7.196,0.2481,0.0677,0.1128,0.0451,8.4818,1.7821,2.9777,0.1353,1525.9,554.0,13.0,541.0,1656.0,104.6,4433011.0,341.7316,21.272223326312524,5.052998966165435,0.812089119562302,2.3763944814839264,62.24833322331507,36446,20.7,44.5
2011,Житомирська,320.0,108.0,46.0,33.0,4.8475,665.8285,667.3219,21801.1146,9042.3985,217773.7747,780308.5673,68145.7817,293.196,640.6137,4.3002,2.9711,0.0782,0.0,0.2346,10.8678,14.2298,0.1564,0.0782,0.0,0.0782,16.6535,2.4238,3.0492,0.0782,19.0,3.0,0.0,3.0,105.0,104.6,1279008.0,312.8987,25.019390027271136,8.444044134204008,3.5965373164202257,11.49425287356322,79.96001999000501,17184,20.6,42.7
2011,Закарпатська,122.0,28.0,57.0,53.0,3.9283,709.5843,723.9347,18893.8951,11157.1732,228082.2544,462226.881,41949.4929,222.5518,470.5375,4.0085,2.0042,0.0802,0.0802,0.481,8.5782,18.3589,0.1603,0.0,0.0802,0.0802,14.8314,2.0042,3.4473,0.0802,17.2,3.0,0.0,3.0,41.0,104.6,1247350.0,242.7546,9.780735158536096,2.24475888884435,4.5696877380045695,18.824306472919417,40.290620871862615,14455,13.7,38.2
